school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro
Texas80,0.5,0.65038306026291548,0.003304000423800833,0.72993461052798958,0.0073890527694439436,0.65038306026291548,0.003304000423800833,0.72993461052798958,0.0073890527694439436
Northeastern19,0.5,0.56763341718574178,0.0051248627711639304,0.80823042937325995,0.0062835570815586569,0.56763341718574178,0.0051248627711639304,0.80823042937325995,0.0062835570815586569
MU78,0.5,0.695522494988285,0.0040793610347985348,0.82942972204531518,0.0084850756122367525,0.695522494988285,0.0040793610347985348,0.82942972204531518,0.0084850756122367525
Notre Dame57,0.5,0.77809075612293055,0.0044184800640910422,0.89591149892979505,0.005466817845261286,0.77809075612293055,0.0044184800640910422,0.89591149892979505,0.005466817845261286
Rochester38,0.5,0.67149546068921395,0.0078863206291707403,0.75627479679251264,0.019907730535092111,0.67149546068921395,0.0078863206291707403,0.75627479679251264,0.019907730535092111
MSU24,0.5,0.57430661080902423,0.0032762153517478716,0.80329368483289953,0.0050660347340636116,0.57430661080902423,0.0032762153517478716,0.80329368483289953,0.0050660347340636116
Rutgers89,0.5,0.59676002527436323,0.0035206062865914211,0.78471179601793795,0.0052521269801663927,0.59676002527436323,0.0035206062865914211,0.78471179601793795,0.0052521269801663927
UIllinois20,0.5,0.70905980018146186,0.0034566967121745498,0.81336628718191206,0.0052677633560390055,0.70905980018146186,0.0034566967121745498,0.81336628718191206,0.0052677633560390055
UC61,0.5,0.55318494807736329,0.0057609064419080281,0.71899103869865211,0.0084803411766278189,0.55318494807736329,0.0057609064419080281,0.71899103869865211,0.0084803411766278189
Baylor93,0.5,0.70288630273184227,0.0046239654033483641,0.86331074770165672,0.0077202054932030426,0.70288630273184227,0.0046239654033483641,0.86331074770165672,0.0077202054932030426
Brown11,0.5,0.59567630513237002,0.0061813907269903145,0.75565135868287259,0.016280860134186077,0.59567630513237002,0.0061813907269903145,0.75565135868287259,0.016280860134186077
